# hyperhyper-eval: 1
# title: WordSim-353, Danish translation
# source-url: https://raw.githubusercontent.com/fnielsen/dasem/master/dasem/data/wordsim353-da/combined.csv
# source-sha256: b0c0b0ef0ea800472f78979e09fbbe877bf3cf1b78564c7dde98086c1228a822
# license: CC-BY
# license-evidence: CC-BY -- stated in the dataset's own LICENSE file at fnielsen/dasem/dasem/data/wordsim353-da/LICENSE, which also records that the rights to the original English WordSim-353 belong to Evgeniy Gabrilovich and that the Danish translation is by Finn Aarup Nielsen.
# citation: Finkelstein, L., Gabrilovich, E., Matias, Y., Rivlin, E., Solan, Z., Wolfman, G., Ruppin, E. (2002). Placing Search in Context: The Concept Revisited. ACM TOIS 20(1):116-131. Danish translation by Finn Aarup Nielsen.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected the Danish columns 'da1'/'da2' and the score column 'Human (mean)'. NOTE: the scores are the ORIGINAL ENGLISH human ratings, carried over unchanged with the translated pairs; they were not re-elicited from Danish speakers
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 353; bundled rows: 316.
#   dropped-flagged-by-translator: 34
#   dropped-self_pair: 1
#   dropped-duplicate: 2
word1	word2	score
kærlighed	sex	6.77
tiger	kat	7.35
bog	papir	7.46
computer	tastatur	7.62
computer	internet	7.58
fly	bil	5.77
tog	bil	6.31
telefon	kommunikation	7.5
tv	radio	6.77
medie	radio	7.42
narkotika	misbrug	6.85
brød	smør	6.19
agurk	kartoffel	5.92
læge	sygeplejerske	7
professor	læge	6.62
studerende	professor	6.81
klog	studerende	4.62
klog	dum	5.81
firma	aktie	7.08
aktie	marked	8.08
aktie	telefon	1.62
aktie	CD	1.31
aktie	jaguar	0.92
aktie	æg	1.81
frugtbar	æg	6.69
aktie	liv	0.92
bog	bibliotek	7.46
bank	penge	8.12
træ	skov	7.73
penge	kontanter	9.15
professor	agurk	0.31
konge	kål	0.23
konge	dronning	8.58
konge	tårn	5.92
biskop	rabbiner	6.69
Jerusalem	Israel	8.46
Jerusalem	Palæstina	7.65
hellig	sex	1.62
Maradona	fodbold	8.62
fodbold	basketball	6.81
fodbold	tennis	6.63
tennis	ketsjer	7.56
Arafat	fred	6.73
Arafat	terror	7.65
Arafat	Jackson	2.5
lov	advokat	8.38
film	stjerne	7.38
film	popcorn	6.19
film	anmelder	6.73
film	teater	7.92
fysik	proton	8.12
fysik	kemi	7.35
rum	kemi	4.88
alkohol	kemi	5.54
vodka	gin	8.46
drik	bil	3.04
drik	øre	1.31
drik	mund	5.96
drik	spise	6.87
baby	mor	7.85
drik	mor	2.65
bil	automobil	8.94
ædelsten	juvel	8.96
dreng	fyr	8.83
ovn	komfur	8.79
mad	frugt	7.52
fugl	hane	7.1
fugl	trane	7.38
bror	munk	6.27
fyr	bror	4.46
rejse	bil	5.85
munk	orakel	5
mad	hane	4.42
kyst	bakke	4.38
skov	kirkegård	1.85
munk	slave	0.92
kyst	skov	3.15
fyr	troldmand	0.92
akkord	smil	0.54
glas	magiker	2.08
middag	streng	0.54
hane	rejse	0.62
penge	dollar	8.42
penge	valuta	9.04
penge	rigdom	8.27
penge	ejendom	7.57
penge	besiddelse	7.29
penge	indbetaling	7.73
penge	udbetaling	6.88
penge	operation	3.31
tiger	jaguar	8
tiger	kattedyr	8
tiger	kødæder	7.08
tiger	pattedyr	6.85
tiger	dyr	7
tiger	organisme	4.77
tiger	dyreliv	5.62
tiger	zoo	5.87
psykologi	psykiatri	8.08
psykologi	angst	7
psykologi	frygt	6.85
psykologi	depression	7.42
psykologi	klinik	6.58
psykologi	læge	6.42
psykologi	Freud	8.21
psykologi	sind	7.69
psykologi	helbred	7.23
psykologi	videnskab	6.71
psykologi	disciplin	5.58
psykologi	kognition	7.48
planet	stjerne	8.45
planet	konstellation	8.06
planet	måne	8.08
planet	sol	8.02
planet	galakse	8.11
planet	rum	7.92
planet	astronom	7.94
forgænger	eksempel	5.85
forgænger	information	3.85
forgænger	kognition	2.81
forgænger	lov	6.65
forgænger	samling	2.5
forgænger	gruppe	1.77
forgænger	efterfølger	6.04
kop	kaffe	6.58
kop	artefakt	2.92
kop	objekt	3.69
kop	enhed	2.15
kop	drik	7.25
kop	mad	5
kop	stof	1.92
kop	væske	5.9
jaguar	kat	7.42
jaguar	bil	7.27
energi	sekretær	1.81
sekretær	senat	5.06
energi	laboratorium	5.09
computer	laboratorium	6.78
våben	hemmelighed	6.06
FBI	fingeraftryk	6.94
FBI	efterforskning	8.31
Mars	vand	2.94
Mars	videnskabsmand	5.63
kløft	landskab	7.53
billede	overflade	4.56
opdagelse	rum	6.34
vand	nedsivning	6.56
onsdag	nyheder	2.22
mil	kilometer	8.66
computer	nyheder	4.47
territorie	overflade	5.34
atmosfære	landskab	3.69
præsident	medalje	3
krig	tropper	8.13
rekord	nummer	6.31
skind	øje	6.22
japaner	amerikaner	6.5
teater	historie	3.91
frivillig	motto	2.56
fordom	anerkendelse	3
dekoration	tapperhed	5.63
århundrede	år	7.59
århundrede	nation	3.16
forsinkelse	racisme	1.19
forsinkelse	nyheder	3.31
minister	parti	6.63
fred	plan	4.75
mindretal	fred	3.69
forsøg	fred	4.25
regering	krise	6.56
energi	krise	5.94
bekendtgørelse	nyheder	7.56
bekendtgørelse	anstrengelse	2.75
slagtilfælde	hospital	7.03
handicap	død	5.47
offer	nødsituation	6.47
behandling	bedring	7.91
tidsskrift	forening	4.97
læge	personale	5
læge	ansvar	5.19
ansvar	forsikring	7.03
skole	centrum	3.44
årsag	hypertension	2.31
årsag	kriterium	5.91
hundrede	procent	7.38
Harvard	Yale	8.13
hospital	infrastruktur	4.63
død	indsatte	5.03
advokat	bevis	6.69
liv	død	7.88
ord	lighed	4.75
bestyrelse	henstilling	4.47
guvernør	interview	3.25
OPEC	land	5.63
fred	atmosfære	3.69
fred	forsikring	2.94
territorie	kilometer	5.28
rejse	aktivitet	5
konkurrence	pris	6.44
forbruger	sikkerhed	4.13
forbruger	energi	4.75
problem	lufthavn	2.38
bil	flyrejse	4.94
kredit	kort	8.06
kredit	information	5.31
hotel	reservation	8.03
købmand	penge	5.94
registrering	arrangement	6
arrangement	indkvartering	5.41
måned	hotel	1.81
type	venlig	8.97
ankomst	hotel	6
seng	skab	6.72
skab	tøj	8
situation	konklussion	4.81
situation	isolation	3.88
upartiskhed	interesse	5.16
retning	kombination	2.25
gade	sted	6.44
gade	avenue	8.88
gade	blokering	6.88
gade	børn	4.94
celle	telefon	7.81
produktion	vandretur	1.75
benchmark	indeks	4.25
medie	handel	3.88
medie	gevinst	2.88
udbytte	betaling	7.63
udbytte	beregning	6.48
valuta	marked	7.5
OPEC	olie	8.59
olie	aktie	6.34
bekendtgørelse	produktion	3.38
bekendtgørelse	advarsel	6
fortjeneste	advarsel	3.88
fortjeneste	underskud	7.63
dollar	yen	7.78
dollar	skilling	9.22
dollar	fortjeneste	7.38
dollar	underskud	6.09
computer	software	8.5
netværk	hardware	8.31
telefon	udstyr	7.13
luksus	bil	6.47
fem	måned	3.38
rapport	gevinst	3.63
investor	indtjening	7.13
væske	vand	7.89
baseball	sæson	5.97
kamp	sejr	7.03
kamp	hold	7.69
