# hyperhyper-eval: 1
# title: SuperSim (relatedness), Swedish
# source-url: https://spraakbanken.gu.se/resurser/data/supersim-superlim.zip
# source-sha256: 319e731c2d0801a7bc0abed1ef029f64b919b34614ec6e5f68a787888ea702fd
# license: CC-BY-4.0
# license-evidence: CC BY 4.0 -- stated in readme.txt *inside* supersim-superlim.zip: "Data for 'SuperSim: a test set for word similarity and relatedness in Swedish', v1; Simon Hengchen, Nina Tahmasebi; University of Gothenburg; DOI 10.5281/zenodo.4660084; CC BY 4.0 to Hengchen/Tahmasebi"
# citation: Hengchen, Simon and Nina Tahmasebi (2021). SuperSim: a test set for word similarity and relatedness in Swedish. Proceedings of NoDaLiDa 2021, Reykjavik.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected columns 'Word 1', 'Word 2' and 'Average' from supersim_superlim/data/gold_relatedness.tsv; the five per-annotator columns are not carried over (the package scores against the aggregate)
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 1360; bundled rows: 1280.
#   dropped-multitoken: 63
#   dropped-self_pair: 1
#   dropped-duplicate: 16
word1	word2	score
bråka	rättfärdiga	2.4
elev	president	0.4
vinna	lyckas	8.0
låtsas	porträttera	0.6
typ	snäll	0.2
planet	sol	7.6
ärm	kropp	2.8
göra	tjäna	1.2
dollar	bock	0.2
äpple	sås	1.4
far	Gud	3.8
tobak	cigarett	10.0
träkol	kol	9.2
skola	lag	3.0
börja	gå	1.4
rum	bad	3.4
klubb	samhälle	1.4
kran	genomföra	0.2
kopp	dryck	9.2
dam	herre	10.0
ta	bära	4.8
styrelse	rekommendation	1.0
familj	planera	1.8
rikedom	prestige	5.4
far	dotter	9.4
kille	partner	7.2
kropp	ryggrad	8.4
rot	gräs	7.8
vän	kille	3.4
vän	gäst	5.8
fru	make	10.0
snö	storm	6.8
cent	storlek	0.4
tunga	hals	7.2
lycklig	galen	3.6
lycklig	arg	5.8
verktyg	genomföra	2.0
himmel	universum	7.8
ny	uråldrig	8.4
barnslig	dåraktig	3.6
nötkreatur	nötkött	10.0
alkohol	cocktail	9.8
cent	fru	0.2
behandling	återhämtning	7.2
administrering	förvaltning	8.0
cancer	sjukdom	10.0
kött	smörgås	3.8
politiker	president	9.8
vän	lärare	1.0
blomma	glödlampa	0.2
vinna	dominera	7.2
konsument	förtroende	1.4
absorbera	äga	1.0
atom	kol	7.4
mage	ven	4.0
